0,"ADM. CENTRAL"
1,"BS. AS. CAPITAL"
3,"BAHIA BLANCA"
4,"BARILOCHE"
8,"CAMPANA"
10,"BARRANQUERAS"
12,"CLORINDA"
13,"COLON"
14,"COMODORO RIVADAVIA"
15,"CONCEPCION DEL URUGUAY"
16,"CONCORDIA"
17,"CORDOBA"
18,"CORRIENTES"
19,"PUERTO DESEADO"
20,"DIAMANTE"
23,"ESQUEL"
24,"FORMOSA"
25,"GOYA"
26,"GUALEGUAYCHU"
29,"IGUAZU"
31,"JUJUY"
33,"LA PLATA"
34,"LA QUIACA"
37,"MAR DEL PLATA"
38,"MENDOZA"
40,"NECOCHEA"
41,"PARANA"
42,"PASO DE LOS LIBRES"
45,"POCITOS"
46,"POSADAS"
47,"PUERTO MADRYN"
48,"RIO GALLEGOS"
49,"RIO GRANDE"
52,"ROSARIO"
53,"SALTA"
54,"SAN JAVIER"
55,"SAN JUAN"
57,"SAN LORENZO"
58,"SAN MARTIN DE LOS ANDES"
59,"SAN NICOLAS"
60,"SAN PEDRO"
61,"SANTA CRUZ"
62,"SANTA FE"
65,"TIGRE"
66,"TINOGASTA"
67,"USHUAIA"
69,"VILLA CONSTITUCION"
73,"EZEIZA"
74,"TUCUMAN"
75,"NEUQUEN"
76,"ORAN"
78,"SAN RAFAEL"
79,"LA RIOJA"
80,"SAN ANTONIO OESTE"
82,"BERNARDO DE IRIGOYEN"
83,"SAN LUIS"
84,"SANTO TOME"
85,"VILLA REGINA"
