"CORI","DECLARACION DE CORRECCION DE INGRESO A DEPOSITO"
"DIS4","DESTINACION DE IMPORTACION SIMPLIFICADA"
"DIS5","DESTINACION DE IMPORTACION SIMPLIFICADA DAP"
"EC01","EXPORTACION A CONSUMO"
"EC02","EXPORTACION A CONSUMO C/DIT SIN TRANSFORMACION"
"EC03","EXPORTACION A CONSUMO C/DIT CON TRANFORMACION"
"EC04","EXPORT.A CONS.C/DIT INGRES. P/TRANSF.EGRESADO S/TRANSF."
"EC05","EXPORTACION A CONSUMO DE EXPORT. TEMP. C/TRANSFORMACION"
"EC06","EXPORTACION A CONSUMO DE EXPORT.TEMPORAL S/TRANSFORM."
"EC07","EXPORTACION A CONSUMO DE MERCADERIA EN CONSIGNACION"
"EC08","EXPORTACION A CONSUMO DE MERC. CON PRECIOS REVISABLES"
"EC09","EXPORTACION A CONSUMO DE CONCENTRADO DE MINERALES"
"ECA1","EGRESO A CONS.EN TNC MERC.ORIG.AAE EGRE.MOSMO PRODUCTOR"
"ECA2","EGRESO AL TNC DE MERC ORIG AAE E IMP CUIT DISTINTO PROD"
"ECA3","EGRESO P/CONS.EN TNC MERC. DEL AAE NO ORIG. EN EL AREA"
"ECA4","REIMPOR.AL TNC MERC. EXPORT. DESDE TNC AL AAE"
"ECE1","EGRESO DEL AAE A CONS. EN EXT. C/TRANS. TERRES. POR TNC"
"ER01","EXPORT.RANCHO COMBUSTIBLE DE BUQUE BANDERA EXTRANJERA"
"ER02","EXPO RANCHO Y APROVISIONAMIENTO DE MEDIO DE TRANSPORTE"
"ES01","EXPORTACION DE MERCADERIAS EN CONSIGNACION"
"ES02","EXPORTACION DE MERCADERIAS CON PRECIOS REVISABLES"
"ES03","EXPORTACION DE CONCENTRADO DE MINERALES"
"ET01","EXPORTACION TEMPORARIA CON TRANSFORMACION"
"ET02","EXPORTACION TEMPORARIA SIN TRANSFORMACION"
"ETE1","EGRESO TEMP DEL AAE AL EXT. C/TRANS. TERRES. POR TNC"
"EXRS","EXPORTACION REGIMEN SIMPLIFICADO DECRETO NRO.855/97"
"IC01","IMPORTACION A CONSUMO SIN DOC. DE TRANSPORTE"
"IC02","IMPORT.A CONSUMO MERCADERIA REGIMEN DE SOLICITUD PREVIA"
"IC03","IMPORT. CONSUMO DE MERC. VIA TERREST. EN ENVIOS FRACC."
"IC04","IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE"
"IC05","IMPORTACION A CONSUMO C/DOC. DE TRANSPORTE D.A.P."
"IC06","IMPORTACION A CONSUMO SOBRE DEPOSITO DE ALMACENAMIENTO"
"IC07","IMPORTACION A CONSUMO REGIMEN AUTOMOTRIZ C/DOC DAP"
"IC08","IMPORTACION A CONSUMO ADUANA DOMICILIARIA C/DOC DAP"
"IC21","RETORNO EXPORT.TEMP.C/TRANSFORMACION S/DOC.TRANSPORTE"
"IC24","RETORNO EXPORT.TEMPOR.C/TRANSFORM.C/DOC. DE TRANSPORTE"
"IC25","RETORNO EXPORT.TEMP.C/TRAFORM.C/DOC.TRANSPORTE D.A.P."
"IC26","RETORNO EXPORT.TEMP.C/TRANSF.S/ DEP.DE ALMACENAMIENTO"
"IC31","RETORNO EXPOR.TEMP.S/TRANSFORMACION S/DOC.TRANSPORTE"
"IC34","RETORNO EXPORT.TEMP.S/TRANSFORM.C/DOC.DE TRANSP."
"IC35","RETORNO EXPORT.TEMP.S/TRANSF.C/DOC.TRANSPORT.D.A.P."
"IC36","RETORNO EXPORT.TEMP.S/TRANSF.SOBRE DEP. ALMACENAMIENTO"
"IC44","RETORNO DE EXPORTACION EN CONSIGNACION C/DOC.TRANSP."
"IC45","RETORNO DE EXPORT.EN CONSIGNACION C/DOC.TRANSP.DAP"
"IC81","IMPORTACION A CONSUMO DE IMPORTACION TEMP.C/TRANSFOMAC."
"IC82","IMPORTACION A CONSUMO DE RESIDUOS DE IMPORT.TEMP.C/T"
"IC83","IMPORTACION A CONSUMO DE IMP.TEMPORARIA S/TRANSFORMAR"
"IDA2","IMPORTACION SUSPENSIVA DE DEP. DE ALMACENAMIENTO"
"IDTL","DECLARAC. PARA EL FRACC. DE LOS BULTOS DE UN DOC. TRANP"
"IG01","IMPORTACION A CONSUMO P/GRAN.OPERADORES S/DOC.TRANSP."
"IG03","IMPORT.CONSUMO GRANDES OPER.DE ENV.FRACC.P/VIA TERREST."
"IG04","IMPORTACION A CONSUMO P/GRAN.OPER.CON DOC.TRANSPORTE"
"IG05","IMPORTACION A CONSUMO P/GRAN.OPER.C/DOC.DE TRANSP.DAP"
"IG06","IMP.A CONSUMO P/GRAN.OPER.SOBRE DEP. DE ALMACENAMIENTO"
"IG07","IMPORTACION A CONSUMO P/GRAN.OPER.CON AUT.PROVISORIA"
"IT01","IMPORTACION TEMPORARIA S/TRANSFORM. S/DOC.TRANSPORTE"
"IT03","IMPORT. TEMPORAL S/TRANSF. VIA TERREST. DE ENVIOS FRACC"
"IT04","IMPORTACION TEMPORARIA S/TRANSFORMACION C/DOC.TRANSPORT"
"IT05","IMPORTACION TEMPORARIA S/TRANSF. C/DOC. TRANSP. DAP"
"IT06","IMPORTACION TEMPORARIA S/TRANSF. SOBRE DEP. ALMACENAM."
"IT07","IMPORTACION TEMPORAL REGIMEN AUTOMOTRIZ S/TRANSF.DAP"
"IT11","IMPORTACION TEMPORARIA PARA TRANSFROM.S/DOC.TRANSPORTE"
"IT13","IMPOR. TEMPORAL C/TRNSF. VIA TERREST. DE ENVIOS FRACC."
"IT14","IMPORTACION TEMPORARIA P/TRANSFORM.C/DOC.DE TRANSPORTE"
"IT15","IMPORTACION TEMPORARIA P/TRANSF.C/DOC DE TRANSP.DAP"
"IT16","IMPORTACION TEMPORARIA C/TRANSFORM. SOBRE DEP.ALMAC."
"IT17","IMPORTACION TEMPORAL REGIMEN AUTOMOTRIZ C/TRANSF.DAP"
"LAPI","LICENCIA AUTOMATICA PREVIA DE IMPORTACION"
"LNAC","LICENCIA NO AUTOMATICA DE CALZADO"
"LNAP","LICENCIA NO AUTOMATICA DE PAPEL"
"RE01","REEMBARCO SIN DOCUMENTO DE TRANSPORTE"
"RE04","REEMBARCO CON DOCUMENTO DE TRANSPORTE"
"RE05","REEMBARCO CON DOCUMENTO DE TRANSPORTE DAP"
"RE06","REEMBARCO SOBRE DESTINACION SUSP. DE ALMACENAMIENTO"
"REMO","EXPORTACION POR REMOVIDO VIA ACUATICA Y TERRESTRE"
"RZ06","REZAGO DE MERC.DE DESTINACION SUSP.DE ALMACENAMIENTO"
"RZF1","TRANSF.E/US.DIR.Y/O INDIR.C/REENVASADO O REENVASADO USU"
"RZF2","TRANSF.E/US.DIR.Y/O INDIR.C/REENVASADO O REENVASADO USU"
"RZF3","TRANSF.E/US.DIR.Y/O INDIR.C/REENVASADO O REENVASADO USU"
"RZF4","TRANSF.E/US.DIR.Y/O INDIR.C/REENVASADO O REENVASADO USU"
"RZF5","TRANSF.E/US.DIR.Y/O INDIR.C/REENVASADO O REENVASADO USU"
"RZF6","TRANSF.E/US.DIR.Y/O INDIR.C/REENVASADO O REENVASADO USU"
"RZF7","TRANSF.E/US.DIR.Y/O INDIR.C/REENVASADO O REENVASADO USU"
"RZF8","TRANSF.E/US.DIR.Y/O INDIR.C/REENVASADO O REENVASADO USU"
"TB04","TRASBORDO CON DOCUMENTO DE TRANSPORTE"
"TB05","TRASBORDO CON DOCUMENTO DE TRANSPORTE DAP"
"TG04","IMP.TEMP.GRAN.OPER.CON DOC.DE TRANS.SIN TRANSFORMACION"
"TG05","IMPORTACION TEMP.GRAN.OPERADOR S/TRANS.C/DOC.TRANSP.DAP"
"TG06","IMP.TEMP.S/TRANSF.P/GRAN.OPER.SOBRE DEP.ALMACENAMIENTO"
"TG07","IMPORTACION TEMPORAL GRANDES OPERADORES S/TRANSF.DAP"
"TG14","IMPORTACION TEMP.GRAN.OPER.P/TRANS.CON DOC.TRANSPORTE"
"TG15","IMPORT.TEMPORARIA GRAN.OPERADORES P/TRANS.C/DOC.DAP"
"TG16","IMP.TEMP.C/TRANSF.P/GRAN.OPER.SOBRE DEP.ALMACENAMIENTO."
"TG17","IMPORTACION TEMPORAL GRANDES OPERADORES C/TRANSF.DAP"
"TL04","TRASLADO DETALLADO CON DOCUMENTO DE TRANSPORTE"
"TL05","TRASLADO DETALLADO CON DOCUMENTO DE TRANSPORTE DAP"
"TL06","TRASLADO DET. CON DOC. TRANSP. A MAS DE UN DEP FISCAL"
"TR01","TRANSITO DE IMPORTACION SIN DOCUMENTO DE TRANSPORTE"
"TR04","TRANSITO DE IMPORTACION CON DOCUMENTO DE TRANSPORTE"
"TR05","TRANSITO DE IMPORTACION CON DOCUMENTO DE TRANSPORTE DAP"
"TR06","TRANSITO DE IMPORTACION S/DEPOSITO DE ALMACENAMIENTO"
"TZF1","TRANSFERENCIA ENTRE USUARIOS DIRECTOS Y/O INDIRECTOS"
"TZF2","TRANSFERENCIA ENTRE USUARIOS DIRECTOS Y/O INDIRECTOS"
"TZF3","TRANSFERENCIA ENTRE USUARIOS DIRECTOS Y/O INDIRECTOS"
"TZF4","TRANSFERENCIA ENTRE USUARIOS DIRECTOS Y/O INDIRECTOS"
"TZF5","TRANSFERENCIA ENTRE USUARIOS DIRECTOS Y/O INDIRECTOS"
"TZF6","TRANSFERENCIA ENTRE USUARIOS DIRECTOS Y/O INDIRECTOS"
"TZF7","TRANSFERENCIA ENTRE USUARIOS DIRECTOS Y/O INDIRECTOS"
"TZF8","TRANSFERENCIA ENTRE USUARIOS DIRECTOS Y/O INDIRECTOS"
"ZFE1","EGRESO ZF PARA CONSUMO EN EL TERRITORIO"
"ZFE2","EG.POR AEROP./PUERTO DE LA ZF EN EL MISMO ESTADO AL EXT"
"ZFE3","EGR.ZF DE UN PRODUCTO DE UN PROCESO PRODUCTIVO AL T.A."
"ZFE4","EGR ZF DE UN PROD.DE PROC.PRODUCT. O REPARACION AL EXT"
"ZFE5","EGR.ZF RESIDUO DE UN PROCESO PRODUCT.C/VALOR COM.AL T.A"
"ZFE6","EGR ZF DE UN RESIDUO DE PROCESO PROD.C/VALOR COM AL EXT"
"ZFER","RETORNO AL T.A. DE ACUERDO AL ART.566 DEL C.A."
"ZFET","RETORNO AL T.A. DE MERCADERIA EXPORTADA TEMPORALMENTE"
"ZFI1","INGR.ZF DE BIENES DE CAP.LIBRE CIRC.P/RADIC.DEFIN.DE TA"
"ZFI2","ING.ZF VITUALLAS Y MERC.DEST.CONTRUCC.INSTAL. DEL EXTER"
"ZFI3","INGR.ZF BIENES DE CAPITAL PARA RADIC.DEFINITIVA DEL EXT"
"ZFI4","INGR.ZF MERC.LIBRE CIRC.P/ALMAC./COMERC./REP. DEL T.A."
"ZFI5","ING.ZF MERC.ALMACENAM.Y/O COMERC. Y/O REPARAC. DEL EXT."
"ZFI6","ING.ZF INSUM.LIBRE CIRC.EN FORMA TEMP P/PROC.PROD.DE TA"
"ZFI7","ING.ZF INSUMOS LIBRE CIRC.P/PROC.PRODUCT. DESDE T.A."
"ZFI8","ING.ZF INSUMOS PARA PROCESOS PRODUCTIVOS DEL EXTERIOR"
"ZFRE","REEMBARCO POR AEROPUERTO/PUERTO DE LA Z.F. MISMO ESTADO"
"ZFTR","EG.Z.F.TRANSITO AL EXTERIOR EN EL MISMO ESTADO DE ING."
